% place,type,population,latitude,longitude
Barnsley,Town,91297,53.55,-1.48333

Basildon,Town,107123,51.56844,0.45782

Basingstoke,Town,107355,51.26249,-1.08708

Bedford,Town,87590,52.13459,-0.46632

Birkenhead,Town,142968,53.39337,-3.01479

Blackburn,Town,117963,53.75,-2.48333

Blackpool,Town,147663,53.81667,-3.05

Bolton,Town,194189,53.58333,-2.43333

Bournemouth,Town,187503,50.72048,-1.8795

Cheltenham,Town,116447,51.9,-2.08333

Chesterfield,Town,88483,53.25,-1.41667

Colchester,Town,119441,51.88921,0.90421

Crawley,Town,106943,51.11303,-0.18312

Darlington,Town,92363,54.52429,-1.55039

Doncaster,Town,109805,53.52327,-1.13691

Eastbourne,Town,109185,50.76871,0.28453

Gateshead,Town,120046,54.96209,-1.60168

Gillingham,Town,104157,51.38914,0.54863

Grimsby,Town,88243,53.56539,-0.07553

Halifax,Town,88134,53.71667,-1.85

Hartlepool,Town,88855,54.68611,-1.2125

Hastings,Town,91053,50.85519,0.57292

Hemel Hempstead,Town,94932,51.75369,-0.47517

High Wycombe,Town,120256,51.62907,-0.74934

Huddersfield,Town,162949,53.64904,-1.78416

Ipswich,Town,144957,52.05917,1.15545

Luton,Town,211228,51.87967,-0.41748

Maidstone,Town,107627,51.26667,0.51667

Middlesbrough,Town,174700,54.57623,-1.23483

Milton Keynes,Town,171750,52.04172,-0.75583

Northampton,Town,215173,52.25,-0.88333

Nuneaton,Town,86552,52.52323,-1.46523

Oldham,Town,96555,53.54051,-2.1183

Poole,Town,154718,50.71667,-2

Rayleigh,Town,95580,51.58571,0.60459

Reading,Town,218705,51.45625,-0.97113

Rochdale,Town,107926,53.61766,-2.1552

Rotherham,Town,109691,53.43012,-1.35678

Sale,Town,134022,53.42519,-2.32443

Slough,Town,155298,51.50949,-0.59541

Solihull,Town,123187,52.41426,-1.78094

Southend-on-Sea,Town,175547,51.53782,0.71433

Southport,Town,91703,53.64779,-3.00648

St. Helens,Town,102885,53.45,-2.73333

Stevenage,Town,89663,51.90224,-0.20256

Stockport,Town,105878,53.40979,-2.15761

Sutton Coldfield,Town,109015,52.56667,-1.81667

Swindon,Town,182441,51.55797,-1.78116

Telford,Town,142723,52.67659,-2.44926

Warrington,Town,165456,53.39254,-2.58024

Watford,Town,131982,51.65531,-0.39602

West Bromwich,Town,91930,52.51868,-1.9945

Weston-Super-Mare,Town,83641,51.34603,-2.97665

Wigan,Town,103608,53.53333,-2.61667

Woking,Town,105367,51.31903,-0.55893

Worthing,Town,109120,50.81448,-0.37126

